"path.to.input","meanenergy","swarming","winddirection","generations","windspeed","nhost","nshould","nright","e"
"input/B/",8.8,55,34.5,1,3.9,263,101,99,83.84
"input/B/",6.5,10,3.3,2,4.5,1168,101,99,540.91
"input/B/",9.5,20,40.4,2,4.3,1105,101,99,509.09
"input/B/",7.1,34,297.6,2,4.7,913,101,99,412.12
"input/B/",12.3,18,296,2,2.9,998,101,99,455.05
"input/B/",6.1,7,213.1,2,3.2,1139,101,99,526.26
"input/B/",6.2,21,279.1,1,3.7,299,101,95,110.53
"input/B/",13.2,50,293.5,2,1.2,365,101,64,264.06
"input/B/",11.9,19,114.1,1,4.2,316,101,97,114.95
"input/B/",10.4,24,218.7,1,2.1,302,101,89,126.4
"input/B/",9.3,36,136.6,1,4.8,283,101,98,95.92
"input/B/",7.2,13,320.3,2,5.3,1092,101,99,502.53
"input/B/",8.5,22,22.7,1,3.8,329,101,99,117.17
"input/B/",13.9,29,318.4,2,5.3,560,101,78,323.72
"input/B/",13.5,25,211.8,2,3.9,774,101,98,346.43
"input/B/",10.9,41,244.1,2,5,790,101,90,395
"input/B/",10.7,13,151.4,2,3.9,1235,101,99,574.75
"input/B/",9.3,21,161.2,1,1,315,101,89,133.71
"input/B/",8.6,37,53.7,2,4.4,929,101,99,420.2
"input/B/",6.5,11,221.3,2,1.9,1117,101,99,515.15
"input/B/",10.3,10,120.7,2,2.8,1377,101,99,646.46
"input/B/",11.9,19,198.4,2,0.3,1079,101,97,508.25
"input/B/",10.2,46,196.1,2,3.4,850,101,90,428.33
"input/B/",6.4,15,315.9,2,3.7,1057,101,99,484.85
"input/B/",7,18,132.8,1,0.1,317,101,88,137.5
"input/B/",6.1,37,338.5,1,1.3,275,101,93,102.15
"input/B/",9,37,290,2,2.6,923,101,99,417.17
"input/B/",8.7,23,76,1,3.3,298,101,99,101.52
"input/B/",6.6,51,41,1,1.1,270,101,99,87.37
"input/B/",6.1,26,320.5,2,0.1,954,101,99,432.83
"input/B/",11.2,9,7.7,2,4.3,1479,101,99,697.98
"input/B/",6.1,35,49.3,2,4.6,953,101,97,443.3
"input/B/",13,43,248.9,1,2,185,101,50,186
"input/B/",12.8,51,182.6,2,5.5,483,101,67,335.82
"input/B/",10.3,8,147.6,2,2.6,1458,101,99,687.37
"input/B/",8.1,54,352.8,1,1.4,260,101,99,82.32
"input/B/",10.8,19,79.1,1,2.2,317,101,98,113.27
"input/B/",6.4,39,235.3,1,4.9,278,101,87,117.82
"input/B/",13.5,19,40.8,2,4.8,829,101,98,374.49
"input/B/",12.2,18,59.4,1,1.2,328,101,95,125.79
"input/B/",12.5,7,319.1,2,5,1626,101,99,772.22
"input/B/",12.1,52,290.2,2,3.4,507,101,80,280
"input/B/",11.4,42,121.5,1,1.9,254,101,86,106.4
"input/B/",12.8,36,116.9,2,4.3,689,101,95,315.79
"input/B/",11.4,30,209.4,1,5.3,276,101,73,158.22
"input/B/",13.5,40,226.1,1,4.5,170,101,39,247.44
"input/B/",6.4,49,251.4,2,5,832,101,99,371.21
"input/B/",9.6,27,22.7,2,2.6,1075,101,99,493.94
"input/B/",10.1,27,64.3,1,3.6,307,101,97,110.31
"input/B/",9.7,14,93,2,2.5,1185,101,99,549.49
"input/B/",13.1,29,303.9,1,2.4,226,101,59,177.12
"input/B/",12.8,10,258.3,2,2.2,1306,101,99,610.61
"input/B/",12.2,46,277.4,2,3.6,625,101,97,274.23
"input/B/",7.7,51,90.3,1,4.3,276,101,85,121.76
"input/B/",8,15,22.3,2,2.3,1228,101,99,571.21
"input/B/",11.7,39,348,1,1.2,245,101,81,113.58
"input/B/",6.8,27,150.1,1,3.6,301,101,88,128.41
"input/B/",13.4,38,258.3,2,0.5,485,101,79,270.89
"input/B/",11.1,47,183.6,1,4.1,258,101,81,121.6
"input/B/",6.3,24,92.1,1,5,295,101,98,102.04
"input/B/",9.3,55,116.1,1,1.4,278,101,85,122.94
"input/B/",9.8,36,146.6,1,0.2,285,101,98,96.94
"input/B/",9.2,56,255.9,1,2.6,265,101,82,123.17
"input/B/",6.3,20,125.7,1,1.9,303,101,91,121.98
"input/B/",10,10,234.8,2,2.7,1284,101,99,599.49
"input/B/",8.4,39,69,1,2.6,283,101,99,93.94
"input/B/",13.2,22,324.4,1,1.2,265,101,74,147.3
"input/B/",13.1,53,278.2,1,1.5,143,101,40,205
"input/B/",6.9,41,79.6,2,4.8,886,101,99,398.48
"input/B/",7.8,32,108,2,5.2,958,101,99,434.85
"input/B/",13.2,20,321.8,2,2.2,931,101,99,421.21
"input/B/",13.5,31,234.9,1,0.8,202,101,49,209.18
"input/B/",9.5,32,228.5,1,5.4,294,101,95,107.89
"input/B/",9.5,24,344.3,2,2.7,1121,101,99,517.17
"input/B/",6,40,244.7,1,3.4,284,101,99,94.44
"input/B/",11.7,18,245.8,1,3.3,290,101,83,135.54
"input/B/",10.6,36,354.2,1,1.4,279,101,97,95.88
"input/B/",9.8,7,277.3,2,2.5,1393,101,99,654.55
"input/B/",13.4,52,85.1,2,5.2,345,101,46,384.78
"input/B/",7.3,52,221.2,2,4.2,829,101,99,369.7
"input/B/",13.3,7,191.8,1,4.6,395,101,90,175.56
"input/B/",7,45,156.5,2,3.6,862,101,99,386.36
"input/B/",8.4,19,66.3,2,2,1169,101,99,541.41
"input/B/",13.4,40,327.3,2,1.6,500,101,80,275.62
"input/B/",6.7,7,146.7,2,5.2,1133,101,98,529.59
"input/B/",14,22,46.8,1,4.7,227,101,67,144.78
"input/B/",8.9,41,0.2,2,2.3,909,101,99,410.1
"input/B/",12.4,41,133,1,0.6,215,101,58,172.41
"input/B/",11,38,53.4,2,4.4,877,101,92,431.52
"input/B/",11.5,40,181.4,1,1.3,256,101,85,110
"input/B/",10.2,45,89.2,1,2.1,276,101,97,94.33
"input/B/",9.8,42,343.7,1,5.5,274,101,99,89.39
"input/B/",11.2,23,315.8,1,1.1,284,101,82,134.76
"input/B/",9.3,28,168.4,2,2.3,1029,101,93,507.53
"input/B/",12.4,20,121.6,1,2.4,303,101,88,129.55
"input/B/",12.3,16,309.9,2,1,1193,101,99,553.54
"input/B/",13.9,9,122.1,2,3.5,1561,101,99,739.39
"input/B/",11.8,14,97.2,1,1.3,340,101,94,134.57
"input/B/",7.5,14,151.3,1,3.8,307,101,98,108.16
"input/B/",8.4,11,279.6,2,3.2,1188,101,99,551.01
"input/B/",12.2,50,186,1,3.1,211,101,68,129.41
"input/B/",9.9,42,226.7,2,3,890,101,95,421.58
"input/B/",8.3,34,215.5,1,2.5,283,101,99,93.94
"input/B/",7.2,42,145.3,1,5.2,277,101,91,107.69
"input/B/",9.7,47,112.8,2,1,901,101,99,406.06
"input/B/",7.6,46,137,2,5.3,861,101,91,428.57
"input/B/",8.2,24,228.5,2,0.4,1016,101,99,464.14
"input/B/",6.9,8,259.1,2,0.7,1186,101,99,550
"input/B/",7.6,46,266,2,4.9,841,101,99,375.76
"input/B/",9.9,35,109.4,2,3.3,974,101,99,442.93
"input/B/",6.4,35,322.8,2,0.6,861,101,93,417.2
"input/B/",7.2,27,257.9,1,0.3,294,101,99,99.49
"input/B/",7.3,29,181.8,2,0.1,989,101,99,450.51
"input/B/",11.8,28,308.3,1,4.2,285,101,89,116.85
"input/B/",10.9,49,148.3,2,1.4,832,101,89,424.16
"input/B/",8.4,38,202,1,1.7,291,101,83,136.14
"input/B/",11.2,53,60.9,2,2.4,779,101,99,344.44
"input/B/",9.2,29,248.4,1,5.5,299,101,98,104.08
"input/B/",12.9,21,42,1,2.4,271,101,93,100
"input/B/",13.1,13,19,2,4.4,1106,101,99,509.6
"input/B/",9.1,46,81.8,2,2.7,876,101,99,393.43
"input/B/",13.6,45,147.3,1,0.9,171,101,38,257.89
"input/B/",7.1,43,15.3,1,0.3,277,101,99,90.91
"input/B/",10.4,21,7.2,1,3,303,101,99,104.04
"input/B/",8.7,43,111.4,1,4.2,279,101,96,97.92
"input/B/",7.3,35,121.7,2,4.8,936,101,99,423.74
"input/B/",12.1,38,187.6,1,4.4,244,101,80,115.62
"input/B/",12.6,11,11.7,2,2.3,1476,101,99,696.46
"input/B/",6.9,26,255.1,1,2.9,300,101,86,133.14
"input/B/",6.1,50,303.3,2,4.4,781,101,99,345.45
"input/B/",8.3,7,99.7,2,0.3,1153,101,99,533.33
"input/B/",13.3,34,4.8,2,2.3,651,101,90,317.78
"input/B/",7.4,22,168.4,2,1.7,1043,101,99,477.78
"input/B/",12.2,23,273.1,2,2.6,912,101,99,411.62
"input/B/",7.9,56,20.6,1,2.5,272,101,97,92.27
"input/B/",6.1,29,73.1,1,4.1,296,101,98,102.55
"input/B/",8.7,23,79.6,2,4.3,1065,101,99,488.89
"input/B/",9.9,21,233.9,1,4.6,301,101,84,139.29
"input/B/",13.6,20,33.3,2,5.2,839,101,99,374.75
"input/B/",8.4,53,83.7,1,2.6,273,101,84,122.62
"input/B/",13.2,44,270.7,2,2.9,444,101,81,236.42
"input/B/",9.8,20,116.5,1,4.4,311,101,86,139.53
"input/B/",12.3,36,348,1,0.2,248,101,79,120.89
"input/B/",13.5,39,266.4,1,1.4,175,101,37,272.97
"input/B/",11.4,18,127.4,2,1.5,1124,101,98,525
"input/B/",7.3,51,143.6,2,1.2,863,101,99,386.87
"input/B/",12.7,40,168,1,1,217,101,67,137.31
"input/B/",6.3,31,97,2,1.3,933,101,99,422.22
"input/B/",9.6,15,268,2,3.4,1190,101,99,552.02
"input/B/",7.5,14,22.1,2,3.2,1065,101,99,488.89
"input/B/",13.3,47,205.7,2,2,371,101,52,353.85
"input/B/",8.8,34,62.3,2,4.9,987,101,99,449.49
"input/B/",9.5,41,103.2,1,1.2,285,101,95,103.16
"input/B/",12.4,53,37.1,2,5.3,518,101,85,264.12
"input/B/",13.9,42,118.6,2,3.9,377,101,50,378
"input/B/",12.5,50,166,2,2.9,572,101,90,273.89
"input/B/",11.2,24,11.1,1,5.5,296,101,98,102.55
"input/B/",9,7,260.1,2,3.7,1331,101,99,623.23
"input/C/",13.5,48,238.8,2,4.3,742,697,354,103.25
"input/C/",9.9,19,264.8,1,0.3,427,697,298,88.59
"input/C/",12,28,194.3,1,3,398,697,255,114.71
"input/C/",7.7,41,7.4,2,2.2,1247,697,572,69.93
"input/C/",6.7,32,163.9,2,2.5,1176,697,530,76.7
"input/C/",12,33,180.3,1,2.7,378,697,252,113.29
"input/C/",13.2,19,220,1,3,410,697,248,123.19
"input/C/",10.8,20,61.3,2,4,1486,697,619,76.33
"input/C/",11.2,13,64.1,1,2.2,441,697,329,72.95
"input/C/",7.1,42,103,1,3,388,697,307,76.71
"input/C/",13.5,12,12.3,2,2.2,1775,697,605,104.3
"input/C/",10.1,29,151.6,2,3.6,1337,697,581,75.04
"input/C/",7.6,45,285.2,1,1.7,377,697,278,93.17
"input/C/",13.9,11,176.4,1,0.8,478,697,285,106.14
"input/C/",8.7,56,25.1,2,0.8,1156,697,558,66.04
"input/C/",13.1,31,177.2,1,0.2,364,697,231,129.65
"input/C/",7.5,34,268.7,1,4.7,393,697,286,90.56
"input/C/",12.9,24,320,2,0.6,1408,697,458,129.8
"input/C/",9.3,54,1.8,2,2,1164,697,549,69.49
"input/C/",13.1,28,216.6,1,0.5,364,697,211,151.42
"input/C/",6.5,12,19.5,1,3,425,697,318,76.42
"input/C/",7,14,269.7,2,2,1478,697,527,106.36
"input/C/",11.6,53,30.2,2,1.4,1056,697,524,67.27
