"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-SA.nlogo"
"C"
"02/03/2021 16:01:52:882 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","seed","path-to-input","generations","[step]","perceptdist","moveangle","diffusionrate","swarming","winddirection","windspeed","meanenergy","beetle_percentsucc1","max_flightdist_inf1","max_distance_host1","mean_flightdist_inf1","mean_distance_host1","max_flightdist_all1","mean_flightdist_all1","mean_traveldist1","max_traveldist1","mean_airline1","max_airline1","nhost1"
"50","17","input/C/","1","5711","5.3","58.4","13","22","316.3","0.2","12.8","11.773817263930852","2264.2","299.67","204.6","116.99","5110","355.1758910835157","558.0334844541087","7733.726757159395","239.86103780010225","1669.0157869389564","19"
"71","17","input/C/","1","11682","3.1","17","7","53","93.1","1.1","8.4","23.148065238247522","1610","42.72","22.94","16.08","3720","104.7963322294089","175.1761905946125","6053.632414165149","105.62877007656198","1813.4222875944479","36"
"73","17","input/C/","1","10585","5.2","13.7","11","48","209.8","0","6","32.25465798876978","1520","20.62","18.23","10.88","2570","42.379526766678396","47.65126580669565","2900.316007594746","38.869122727006285","1773.0476369548771","42"
"74","17","input/C/","1","11605","3.9","41.7","6","54","135.2","0.8","11.2","13.289290325879902","1415","25.5","27.84","8.81","2750","84.28443426839847","141.62029796205695","4308.395192750049","58.71217708990983","1448.7543158945914","8"
"69","17","input/C/","1","3710","0.2","16.6","21","13","158.6","1.3","9.6","41.32471192903921","1945","38.08","19.79","14.99","4200","123.9583875755058","126.5858211993212","4292.4183913843635","106.63570710796618","1926.3322248684503","71"
"77","17","input/C/","1","4426","1.9","81.3","13","17","276.6","4.2","7.2","56.659267480577135","1407.84","45.28","29.91","20.14","3725","49.71432897390897","63.88892769601984","4893.083185741688","28.94144513750357","1430.3077765395678","105"
"75","17","input/C/","1","9099","2.1","11.4","21","40","200.3","0.8","11.3","16.094348047971422","2070","40.31","46.56","14.37","4180","117.05418593160806","192.92659949636868","7553.306828423665","100.30092699476594","2000.3712024214856","23"
"76","17","input/C/","1","10597","6","18.8","15","48","195.9","0","13.8","3.1125574272588055","3280","40.31","96.23","21.48","5770","146.11405237759664","241.48966200582535","10308.259522028442","109.87817877046356","2002.1747647267002","6"
"72","17","input/C/","1","2673","2.9","53.5","16","8","72.7","2.5","12.5","36.23342682304946","2450","390","81.13","126.5","3155","147.32556919604292","289.6606587512364","5734.789446672795","157.99376319115487","1812.0069949703616","69"
"70","17","input/C/","1","12178","3.9","25.4","10","55","354.7","3.1","10","19.579266347687398","1125","10","18.67","6.6","4455","245.72876569621292","372.5658663653729","6751.8199907467315","211.87964412714774","1785.7218133809602","12"
"79","17","input/C/","1","12280","1.6","17.8","15","56","33.7","2","9","25.182274375606518","2199.13","15","17.03","7.76","3455","159.33024994438892","196.5215755112793","4117.312554835281","147.2222667067936","1809.8265785515173","22"
"78","17","input/C/","1","7522","3","27.5","0","31","107.9","1.5","10.7","21.065435598804687","3045","14.14","18.72","7.49","5255","185.84963157357035","193.9384804266251","5472.987249522771","128.43692139064862","1916.2478314609943","13"
"80","17","input/C/","1","6911","4.7","0.5","14","30","302.4","2.9","9","36.224646000765404","1535","31.62","18.01","12.07","1985","131.1203437175214","131.1203437175214","1985","131.01318215983466","1985.0000000000066","51"
"85","17","input/C/","1","12232","1.9","64.8","23","56","64.9","4.3","7.3","31.936960518923335","1530","25","21.55","11.51","3880","61.3102801731684","61.3102801731684","3880","34.92125146852951","1025.8098374552335","44"
"83","17","input/C/","1","6099","5.9","81","8","25","349.2","1.4","7.7","55.001435177802584","270","73.82","27.98","31.7","2840","78.91574933938244","140.7801088788545","4852.239903144898","71.75294252716435","1627.2992348634589","129"
"87","17","input/C/","1","8483","5.7","32.6","11","39","174","4.3","11.4","14.09649862090101","1900","15.81","38.22","9.08","4405","88.26844127870892","139.93364219947583","6983.01382273265","62.55300736751803","1986.972293763665","16"
"86","17","input/C/","1","11761","3.1","79.8","13","53","359.3","2.6","7.6","35.75567636712504","535","38.08","21.15","12.53","3750","91.98192346067239","139.08106283249037","5401.945261227651","63.26530229737725","1561.6885204807063","47"
