"BehaviorSpace results (NetLogo 6.0.4)"
"/scratch/ws/0/s1426633-CAL/IPS-SPREADS-2-4-VAL.nlogo"
"D"
"02/09/2021 11:09:40:191 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","100","0","100"
"[run number]","path-to-input","[step]","meanenergy","swarming","winddirection","generations","windspeed","nhost","nshould","nright"
"186","input/D/","30966","6.8","51","62.8","2","3.9","845","133","121"
"172","input/D/","10002","7.4","16","86.9","2","3.4","1147","133","121"
"192","input/D/","4014","11.7","18","130","1","2.6","334","133","96"
"193","input/D/","6740","7","33","215.5","1","1.3","277","133","46"
"153","input/D/","5840","10.8","9","168.5","2","2.8","1384","133","121"
"188","input/D/","26892","9.1","44","210.8","2","0.2","913","133","121"
"189","input/D/","26558","8.5","44","238","2","2.2","881","133","121"
"191","input/D/","2083","12.5","9","112.9","1","2.3","403","133","98"
"196","input/D/","4202","10.9","20","298.8","1","3.2","306","133","57"
"195","input/D/","2943","13.2","13","246.6","1","0.6","365","133","74"
"198","input/D/","3314","12.7","15","267.1","1","0","330","133","53"
"190","input/D/","13582","11.7","22","305.2","2","5.4","1005","133","114"
"166","input/D/","5189","7.8","8","36.6","2","3","1278","133","121"
"199","input/D/","33438","11.6","55","22.9","2","4.5","683","133","121"
"185","input/D/","8165","9.2","13","35.3","2","2.5","1207","133","121"
"197","input/D/","24551","12.4","40","163.3","2","2.6","814","133","121"
"194","input/D/","11198","11.7","18","270","2","0.1","1132","133","112"
"177","input/D/","5170","13.5","8","171.9","2","2.2","1770","133","121"
"200","input/D/","5185","8.6","8","202","2","2.2","1186","133","116"
